    "NewGame"    新游戏
    "Ency_Welder"    焊接器
    "EncyDesc_Welder"    这个维修工具可针对常见设备控制面板，基地模组，收音机等在原子结构层面修复电线和焊接裂缝，所有优秀的技术人员都会随身携带。大多人不在乎它怎么运作，只是它曾拯救他们的生活一次但如果你好奇，它是结合扫描仪和制造工具台技术来确定该如何正确修复目标，然后以物理方式重新排列结构并还原符合材料原始规格。“阿尔特拉维修工具：让修理变得简单。”
    "Ency_Bioreactor"    生物反应堆
    "EncyDesc_Bioreactor"    在具有丰富有基物质，但没有阳光的行星上，可靠的生物反应器会是最有效的电力解决方案。 可安状在任何多用途基地 化学堆肥有机材料，随时间增加将其转化为能量 可接受所有植物，从种子到胞子到发梅的水果蔬菜 也可接加工动物（脂肪，肌肉，蛋等）和有机废物 产出能原与有机物热量成正比“生物反应器：完全有机”
    "Ency_ThermalPlant"    热能发电机
    "EncyDesc_ThermalPlant"    在陌生环境中生存的首要规则是使用一切可用的资源。如果面临度高温的考验，高温环境随时可能杀死你，但你可能也会因此得到一些好处，可靠的能源将热能转换为电能在尝试安装前先用温度计读下温度热能发电设备安装于一个耐热的底盘之上，不受极端温度的影响
    "Ency_NuclearReactor"    核能反应堆
    "EncyDesc_NuclearReactor"    足够维持一个小型前哨站的可再生能源，其他所有设备都由核电供电。由高达四个可更换的铀反应堆控制棒供电没有防辐射服不要试图更换反应堆控制棒不要试图超频反应堆核能是能源密集型工程的理想选择能提供多人基地的能源可为操作多个码头和重型机械供能为维持研究所标本生存环境供能
    "Ency_Cyclops"    独眼巨人号
    "EncyDesc_Cyclops"    独眼巨人号是这个星系中最可靠和最受欢迎的深海潜水艇。与其他同型舰艇相比，他只需要一名船员就可驾驶，名称也由此得来。它的特点：三速手动驾驶控制和前观景台，利于精准操控内部包含一组提供维修及充电功能的小型月亮池船尾提供大容量储存空间提供内外摄影无人机威胁检测系统多种类自订选项给新任船长的信息和忠告：能耗等级：引擎关闭状态；慢；标准、高速运转时会产生噪音，可能引起不必要的敌对生物注意静音模式可以于任何速度下开启，能将噪音降至零，但会额外增加的能量消耗独眼巨人升级模组可在引擎室制造，并安装在其附近的面板上规格：最高速度：加速度：电源：颗可更换电池基本潜水深度：海底尺寸：乘员：人注意独眼巨人不具备以下设施：居住宿舍：建议船长轮流安排每晚谁睡在走廊紧急情况：如果发生淹水及停电，船舰将会下沉
    "Ency_MapRoom"    扫描室
    "EncyDesc_MapRoom"    这种先进的基地模块可以将一个小前哨变成一个新兴的科学和探索站。在遥控侦察无人机扫描区域范围一个三维显示设备在房间的中心，存储本地地形数据安装在墙上的摄像无人机可以像无人侦查机样的遥控系统可以扫描和确定特定的材料升级控制台可用于增强模块的加强
    "Ency_WaterPark"    大型水族馆
    "EncyDesc_WaterPark"    尽管阿尔特拉科学技术强大，但在探索新世界方面仍面临挑战，在外星的生活也是其中之一。这是我们制造外星生物水族馆的原因。主要用于繁殖体型较大或危险的物种。技术规定：必须安装于多用途房间内可连接在一列立式堆叠的房间中必须安装舱口才能进入水族箱内水族馆底部可种植当地海洋植物种子育种提示：提供足够的时间及生活空间，同一物种的生物应该会进行交配繁殖和繁殖水族箱内的蛋会随着时间慢慢孵化水族箱中孵出的生物往往展现出较为激进生物状态警告：如果放入过多单位，环境控制系统可能会失效疾病感染在水族馆中传播速度较快不要敲击玻璃：你不知道什么生物会回答你，这是一种十分危险的行为
    "Ency_Exo"    海虾号（）
    "EncyDesc_Exo"    应用了压力激活再生技术的纳米防水服系列，该装置旨在保护操作员能在极端环境中生存。是最新版本，至今为止，海虾号因其高价，仅在相位门任务时才会投入使用。装甲与外界环境完全隔离强大的液压四肢提供强大动力通过各种环境后制推进器于低重力环境提供机动性可进行一系列修改，以增强资源开采及增强探勘能力“海虾号：提供全方位保护”
    "Ency_JellyPlant"    凝胶球
    "EncyDesc_JellyPlant"    这些植物通常在洞壁上生长。表面突出的紫色袋状物含有低密度凝胶，带有植物的孢子。不时会发生小型爆炸，喷射出孢子，漂浮并附着到下落时碰到的第一块岩石表面。评估：可食用，且是重要的进阶制造材料
    "Ency_LifepodRandom"    号逃生舱船员日志
    "EncyDesc_LifepodRandom"    我什么方法都试过了。如果这个工作台还能用，我现在已经在我的私人天文台躺在摇椅上看日出了。但是用这个机器我连最基本的东西都做不了。想要电池？这里有一个儿童玩具！需要潜水盔甲？这里倒是有些烧杯试管什么的！饿了吗？我来帮你把那个水果化成烂泥！现在我脑子里就剩一团烂泥。好吧，我将继续尝试，不管错多少次。接下来每个按钮都试一次，终归会有用的吧。
    "Deprecated"    废弃
    "DeprecatedBuildableInstructions"    使用建造工具进行拆解
    "ExchangePowerSource"    更换电池
    "PowerPercent"    能源
    "PowerSourceUnload"    卸下
    "PowerSourceUnloaded"    没有电池
    "GasTorpedo"    毒气鱼雷
    "Tooltip_GasTorpedo"    如果被引爆可以释放出一团毒气，装填到载具的鱼雷舱即可使用
    "ItemSelectorPrevious"    前一个
    "ItemSelectorNext"    下一个
    "ItelSelectorSelect"    选取
    "ItemSelectorCancel"    取消
    "ChargerInsufficientPower"    电量不足后将进行再次充电尝试
    "ChargerSlotEmpty"    充电器插槽空
    "BatteryChargerInteract"    使用电池充电器
    "BatteryChargerStorageLabel"    电池充电器
    "BatteryChargerIncompatibleItem"    不兼容
    "BatteryChargerCantDeconstruct"    请先取出电池
    "PowerCellChargerInteract"    使用动力电池充电器
    "PowerCellChargerLabel"    动力电池充电器
    "PowerCellChargerIncompatibleItem"    不兼容
    "PowerCellChargerCantDeconstruct"    请先取出电池
    "BatteryCharger"    电池充电器
    "PowerCellCharger"    动力电池充电器
    "BatteryCharge"    电量
    "BatteryNotInserted"    没有电池
    "BatteryChargerFragment"    电池充电装置碎片
    "PowerCellChargerFragment"    动力电池充电装置碎片
    "Tooltip_BatteryCharger"    可以同时为个电池充电。
    "Tooltip_PowerCellCharger"    可以同时为个动力电池充电。
    "Tooltip_BatteryChargerFragment"    电池充电器科技碎片。
    "Tooltip_PowerCellChargerFragment"    动力电池充电器科技碎片。
    "GasPod"    毒气囊
    "Tooltip_GasPod"    毒气鱼用于装毒气的器官。
    "WorkbenchMenu_BatteryMenu"    电池升级
    "GenericConsole"    数据终端
    "Tooltip_GenericConsole"    用于下载数据。
    "Story_AuroraConsole1"    （乱码）录制中（乱码）
    "Story_AuroraConsole2"    请遵守号安全协议来分类处理货物
    "ExosuitTorpedoStorage"    海虾鱼雷舱
    "ExosuitPropulsionArmModule"    海虾冲击炮模块
    "Tooltip_ExosuitPropulsionArmModule"    为海虾号装备冲击炮。
    "GotFeedback"    有反馈吗访问
    "GameNotSaved"    游戏没有保存
    "NewGameConfirmation"    继续保存游戏，存档将被覆盖，确定继续吗？
    "PressStart"    按键开始
    "PressStart.XB1"    按下菜单
    "PressStart.PS4"    按下选项
    "StartScreenLoading"    正在加载
    "SlotEmpty"    空
    "EarlyAccessWarning"    《深海迷航》预约版本
    "EarlyAccessWarning.XB1"    预发行软件。这个游戏是在一个预发布阶段的发展。这意味着，该游戏的一些配件，包括功能（如聊天、游戏），可能没有预期的功能（或者不可能有所有功能）。游戏甚至可能崩溃因为这是一个预发布游戏，微软和出版商不承诺为游戏提供客户支持。
    "EarlyAccessWarning.PS4"    中
    "SceneLoading"    场景加载……
    "NewsletterSignup"    注册通讯
    "OptionJump"    跳
    "OptionPDA"    电脑
    "OptionDeconstruct"    拆解
    "OptionLeftHand"    左手使用
    "OptionRightHand"    右手
    "OptionSlot1"    快捷
    "OptionSlot2"    快捷
    "OptionSlot3"    快捷
    "OptionSlot4"    快捷
    "OptionSlot5"    快捷
    "OptionRotateConstructableLeft"    左旋转
    "OptionRotateConstructableRight"    右旋转
    "OptionTakePicture"    拍照
    "OptionReload"    重新加载
    "OptionMoveUp"    向上
    "OptionMoveDown"    向下
    "OptionMoveForward"    向前移动
    "OptionMoveBackward"    向后移动
    "OptionMoveLeft"    向左
    "OptionMoveRight"    向右
    "IntroUWEPresents.XB1"    未知世界的娱乐控制数字现在
    "UseFeedbackForm"    使用反馈模式
    "UseFeedbackForum"    打开论坛
    "ControllerDisconnected1"    摇杆断开连接
    "ControllerDisconnected2"    按任意键继续
    "SaveFailed"    数据保存失败。是否重试？
    "SaveFailedSpace"    保存失败磁盘空间不足。再试一次
    "LoadFailed"    数据读取失败。是否重试？
    "QuitToMainMenu"    回到主菜单
    "InvertGamepad"    反转视角
    "GamepadSensitivity"    视角灵敏度
    "SwitchUser"    切换用户
    "GamepadEnabled"    启用游戏手柄
    "ScannerScreenUnpowered"    无能源
    "CyclopsNameConsole"    独眼巨人号改造站
    "KeyRange15.XB1"    啛
    "KeyRange15.PS4"    啛
    "PropulsionCannonToRelease"    按键松开或装填
    "LockedRecipeHint"    扫描更多的碎片来解锁
    "ExosuitGrapplingArmModule"    海虾格斗手臂
    "Tooltip_ExosuitGrapplingArmModule"    可以发射抓钩增强移动和战斗能力。
    "CrashEgg"    自爆鱼蛋
    "Tooltip_CrashEgg"    可以孵化自爆鱼。
    "OptionExit"    退出装袋
    "PropulsionCannonNoItems"    冲击炮未装填
    "ExosuitPropulsionCannonNoItems"    冲击炮未装填
    "PressToExit"    退出
    "SeamothTorpedoModule"    海蛾号鱼雷模块
    "Tooltip_SeamothTorpedoModule"    一个标准的水下发射装备，可以发射非致命的旋涡鱼雷。
    "ExosuitTorpedoArmModule"    海虾鱼雷手臂
    "Tooltip_ExosuitTorpedoArmModule"    一个标准的水下发射装备可以发射鱼雷。
    "NoInputAssigned"    无输入
    "DamagedWiresGeneric"    损坏的电线
    "EnterExosuit"    进入海虾号
    "ExosuitCharging"    海虾号充能中
    "SeamothCharging"    海蛾号充电中
    "NoVehicleDocked"    无载具停泊
    "CookedLavaBoomerang"    烤熟的岩浆飞镖鱼
    "CookedLavaEyeye"    烤熟的岩浆小眼仔
    "CuredLavaBoomerang"    腌制的岩浆飞镖鱼
    "CuredLavaEyeye"    腌制的岩浆小眼仔
    "LavaBoomerang"    岩浆飞镖鱼
    "LavaEyeye"    岩浆小眼仔
    "Tooltip_CookedLavaBoomerang"    口味相当火爆。
    "Tooltip_CookedLavaEyeye"    非常辣，多汁。
    "Tooltip_CuredLavaBoomerang"    辣而且硬，脱水但可以保存很久。
    "Tooltip_CuredLavaEyeye"    肉质紧且不好吃。经过脱水，可以保存更久。
    "Tooltip_LavaBoomerang"    小型可食用鱼。
    "Tooltip_LavaEyeye"    小型可食用鱼。
    "ExosuitWelcomeAboard"    欢迎回来，长官
    "ExosuitWelcomeNoPower"    警告：只剩应急能源，氧气供给终止
    "BaseRoomFragment"    多功能房间碎片
    "StillSuitFragment"    环保潜水服碎片
    "BaseBulkheadBlueprint"    隔离舱门蓝图
    "BaseRoomBlueprint"    房间蓝图
    "StillsuitBlueprint"    环保潜水服蓝图
    "Ency_Bladderfish"    泡泡鱼
    "EncyDesc_Bladderfish"    这种不寻常的食草动物没有任何攻击力。半透膜：这种生命体能够通过独特的膜过滤海水进入体腔，去除和消耗从其中过滤的有机颗粒。开口式血管：可以张开和收缩，以喷射出水流，实现低速的定向推进。唯一确定的防御机制：％的软骨构成。评估：膜可作为天然的过滤器来生产纯净水
    "ContainerCantFit"    没有足够空间
    "VehicleTorpedoNoAmmo"    弹药耗尽离开载具并重新装填鱼雷
    "OptionSprint"    冲刺
    "ReadMore"    了解更多
    "LoadingSceneFormat"    加载中
    "Aurora"    极光号
    "Precursor_Interior_Gun_Lower"    µ
    "Precursor_Interior_Gun_Upper"    µ
    "Poster"    物竞天择的海报
    "PosterAurora"    极光号海报
    "PosterExoSuit1"    海虾号海报
    "PosterKitty"    海报
    "RadioGrassy21"    无线电：这里是号逃生舱，已附加我的位置坐标。月池在我面前倒塌了。如果没有激光切割器，不要来尝试救援，你只会让这里增加一具尸体。完毕。
    "RadioShallows22"    无线电：这里是逃生舱，载有高优先级乘客，请安排优先救援。坐标已发送。我们在极光号坠毁附近着陆了，但我们通往汇合点的路上充满了辐射，且我们只有一套防辐射服，请求立刻加派支援。完毕。
    "RadioGrassy25"    无线电：这里是号逃生舱，正在上传我们的坐标。我们的备用水下推进器出了点毛病，所以去汇合点可能会迟到请不要丢下我们离开，我是认真的！完毕。
    "RadioMushroom24"    无线电：来自极光号号逃生舱的高优先级自动消息。已发送坐标。逃生舱内有蒙古大使约什卡萨的遗体。确认：遗体为约什卡萨。即刻发送遗体细节。
    "RadioKelp28"    无线电：这里是号逃生舱，已附加坐标。舱体保存较为完好，但是工作台损坏了，请求立即支援，完毕。
    "RadioRadiationSuit"    这里是号逃生舱！我们降落在极光号附近，漂浮系统能正常工作，但周围有很多巨大的怪鱼，我并不知道漂浮系统能维持多久。我们就在坠毁区周围，所以我打算去找一些激光武器。号逃生舱，暂时离开。
    "Goal_PDALoading"    检测到轻微脑震荡。你在一场空难中幸存了，目标已变更，唯一指令，确保用户在外星生存。需要更详细的资料，请查询数据库。祝你好运。
    "Goal_BiomeSafeShallowsCave"    复杂的洞穴系统会增加溺水风险建议制造更多的氧气瓶来延长探索时间。同时检测到洞穴附近含有微量硫成分，硫是制作焊接器的重要成分。
    "Goal_BiomeKelpForest"    看来这个星球上的生命生长在异常独特和多样的生态生物群落中。建议进一步研究。
    "Goal_BiomeKelpForestCave"    洞穴潜水员最常见的并发症是窒息或被异物困住事实就是如此。
    "Goal_BiomeGrassyPlateaus"    短距离扫描表明这种海草植物群造就了其“草原”以上和以下广泛的生物多样性和地形的复杂性。
    "Goal_BiomeJellyCave"    这个洞穴的外部观察和分析表明其中可能居住着特别的，危险生物。尽量谨慎行动，留心观察来规避风险。
    "Goal_BiomeMushroomForest"    这个地区大部分生物是植物。另外检测到微弱的“阿尔特拉技术设备”的信号。
    "Goal_BiomeMushroomForestCave"    你目前在一个几乎完全钙化的根状地形内。扫描表明，这是某种其他生命形式用几百年的时间“吃出来”的一个洞穴。
    "Goal_BiomeKooshZone"    检测到显著的火山活动，以及几处异常电磁信号。探索这一区域时要格外小心。
    "Goal_BiomeFloatingIsland"    在地表检测到多个微弱的能量信号。
    "Goal_BiomeMountains"    检测到该地区的大规模能源信号。无法准确识别。
    "Goal_BiomeMountainCave"    局部扫描表明这一地区有大量的矿床。
    "Goal_BiomeUnderwaterIslands"    这里的土地表面的侵蚀模式表明它们曾经浮在表面上。
    "Goal_BiomeSparseReef"    这个地区的生物多样性异常低。原因不明。
    "Goal_BiomeSeaTreaderPath"    海底植物受到损害表明这里可能是一个底层居住的巨大生命体的迁移路径。
    "Goal_BiomeDunes"    在该地区检测到多个利维坦类生命体信号。你确定你非得继续呆在这？
    "Goal_BiomeBloodKelp"    这种生态群落满足了最可怕的生态系统个标准中的个。
    "Goal_BiomeDeepGrandReef"    扫描显示，此处地表下有复杂的洞穴系统，同时伴随着多处能量信号。
    "Goal_BiomeLostRiver"    地形扫描表明这种生态系统含有异常高密度分布的有机物和化石遗骸。
    "Goal_CopperWire"    未知
    "Goal_Constructor"    未知
    "Goal_Bioreactor"    可靠稳定的能源系统是通往自给自足的海底生活的重要一步。
    "Goal_RadSuit"    极光号船员及通讯设备情况不明，建议进一步探索坠毁区域已获得更多信息。
    "Goal_Seamoth"    海蛾号可以让你快速而安全地进行水下旅行，但是同时别忘了适量的游泳也对你的身体健康与脑内啡浓度维持有帮助。
    "Goal_Room"    为了最大化生产力，在建立水下基地时记得将娱乐区和工作区分开。像对待自己的家一样对待基地，同时也别忘了，这里并不是你的家。
    "Goal_Observatory"    除非根据特定的研究任务构建，观测台和其他玻璃模块对于生存目的而言是不可靠的。
    "Goal_FarmingTray"    种植外星植物作为生存热量来源是一个十分聪明的策略。著名冒险家克雷格就曾依靠食用海藻沙拉和昆虫在外星生存了个月。
    "Goal_Bench"    警告：内啡肽水平低。考虑采取散步或坐下来冥想的调节手段来恢复心情。现在经历的所有困难其实只存在于你的大脑里而你能够不去想它。
    "Goal_Cyclops"    警告：独眼巨人号的设计容量为人。只有有丰富经验且装备齐全的人才可以尝试独自驾驶它。
    "Goal_Moonpool"    在持续几个星期不与其他人接触的情况下，经历心理上的不适期是正常的。研究表明，通过饲养宠物或对无生命物体进行拟人化可以适当缓解症状。
    "Goal_WaterPark"    水族箱让你有机会近距离观察这些生物，但一定要谨慎选择要放养哪些动物，因为在你观察它们的时候，它们可能也在观察你。
    "Goal_Diamond"    永远记住这些你用来求生的材料都是阿尔特拉财团的合法资产，你将承担按市场价格偿还这些材料的责任。迄今，你的账单已达到百万信用点。
    "Goal_StasisRifle"    听说曾经有位冒险家在意外坠落异星之后通过驯服当地生物，茹毛饮血，建立自己的生存基地，生存了个月后坚持到救援到来，如果他能做到，相信你也可以。
    "Goal_NuclearReactor"    处理放射性物质时必须格外小心，一旦泄露，连都来不及记录和分析你的死亡信息。
    "Goal_Exo"    首次穿上海虾动力盔甲会觉得自己瞬间变得无所不能，所向披靡，这是很正常的现象。专业的机甲操作员往往要接受数周的培训来治疗这种心理现象。尽量不要自大得上头了。
    "EncyPath_DownloadedData\/Codes"    数据和线索
    "Ency_Aurora_Office_PDA1"    备忘录
    "EncyDesc_Aurora_Office_PDA1"    所以我们终于进入太空了，我们越过一个又一个星系，建造一个又一个相位门，殖民，开采，这样是不是会最终耗尽星系的资源，这样究竟是为了什么？于的生日还有这么多周我们才能回家感觉还有这么多周才能回家没几个子儿工资货舱密码
    "Ency_Aurora_Office_Terminal1"    阿尔特拉发射了极光号
    "EncyDesc_Aurora_Office_Terminal1"    为了在阿里亚德内之臂建造相位门，阿尔特拉发射了极光号阿尔特拉集团发射了一艘新建的旗舰级飞船，船上载有一个用于阿里亚德内之臂的相位门，所以人类居住的最远范围将进一步扩大。极光号将从阿尔特拉空间边缘的隔离墙出发，通过九个不同政府统治的区域经历上百次相位跃迁，并在三个月后到达阿里阿德内之臂的远端。从那里指挥机组将驾驶船穿越最后的相位门，大约个月后到达下一个星系。在那里，精英团队的工程师将开始一个六个月的新相位门建设项目，耗资一万亿信用点。由于该地区缺乏现有基础设施，该船配备了先进的热能和核电设施。阿尔特拉财团目前控制了星系中所有相位门的％。如果极光号的使命完成，阿尔特拉将会在蒙古企业的基础上，在该地区建立一系列新的前哨站和矿场，开展进一步的殖民计划。
    "Ency_Aurora_Cargo_PDA1"    极光号工程无人机“阿尔伯特号”日志
    "EncyDesc_Aurora_Cargo_PDA1"    退出睡眠模式。加载语音识别。伯克利：“无人机检测推进炮。排斥炮检测中：“嘿！伯克利！如果你把那些电线插入排斥炮，你会造成货舱减压的。伯克利：“天呐。无人机，我说的是推进炮，不是排斥炮。排斥炮检测中伯克利：“无人机，重新校准语音传感器！：“传感器没问题。只是我对语言界面做了一些调整。你试试像一个普通的船员说话。传感器重新校准伯克利：“无人机，你这废物。我知道这不是你的错，但请把这个东西拿开，并且给我配备推进炮，谢谢。推进炮检测中伯克利：“谢谢现在滚吧。进入睡眠模式伯克利：“你的专业知识都用来整这些幺蛾子了？：“是啊，在没出太空之前我一直在忙这个。
    "Ency_Aurora_DriveRoom_Terminal1"    极光号黑匣子数据
    "EncyDesc_Aurora_DriveRoom_Terminal1"    围绕号行星发起的弹射着陆启动警告：受到从行星表面发射的高速能量脉冲攻击已发送紧急遇险信号检测到碰撞驱动核心防护受损求生系统右舷侧受损紧急撤离启动极光号进入行星大气层受到剧烈碰撞冲击船体网络失灵分析：能量脉冲不匹配任何已知的行星防御技术正在计算和下载脉冲的发射源头信号成功发出阿尔特拉答复在小时内展开最高优先级救援。
    "Ency_Aurora_Locker_PDA1"    极光号辅助任务清单
    "EncyDesc_Aurora_Locker_PDA1"    任务：搜索和救援蒙古飞船“德加斯”号的船员最后位置：星球联系人蒙古使者卡萨，极光号乘客区号房间任务摘要：一艘蒙古船“德加斯”在十年前消失了。卡萨购买了极光号的乘客保险，您收到的的订单是为他们提供一切合理的设施和支持，以便在不影响主要任务的情况下定位和检索德加斯机组成员。极光号将在发射大约个月后左右围绕号行星进行重力弹射启动。这将使极光号来到德加斯号最后被发现的地方。德加斯号船员的遗言已经以单独数据包的形式分发给高级雇员。
    "Ency_Aurora_Locker_PDA2"    肥差
    "EncyDesc_Aurora_Locker_PDA2"    来自：哈金斯写给：威尔逊过去个月你告诉过我，你从来没有来过外太空对吧？现在你来到了一艘被导出都是先进机械的船上。反正明天我们没有任何事情，直到我们到达行星并开始为建造相位门工作。你说过你想要操控一套潜水机甲，去那些你只能嘴上说说的行星看看，巧了，我这里有一套写着你名字的潜水机甲。你根本不知道那种充满力量的感觉，直到你用你的裸露但是经过机械增强的手臂击碎小行星。如果你感兴趣就来我的房间看看。密码是。
    "Ency_Exo_Code_LifepodPDA"    非必要系统维护日志
    "EncyDesc_Exo_Code_LifepodPDA"    机械舱（密码）零件扫描完成标准走廊程序完成使用效率检查延后求生系统甲板维修检查开始
    "Ency_Exo_Code_WreckPDA"    机械舱安全
    "EncyDesc_Exo_Code_WreckPDA"    来自：工程师于写给：技工辛克尔我好好想了想，无论我们给机械舱设置什么密码，他们都会找到方法进去的，所以如果下次他们让我们改密码，我会说干脆我们把密码改成大家都不会忘记的吧，你觉得改成咋样？他们应该会喜欢的。
    "Ency_Aurora_Living_Area_PDA1"    反式政府资料：阿尔特拉集团
    "EncyDesc_Aurora_Living_Area_PDA1"    联邦航空航天技术和消费电子产品的最大供应商之一的官方供应商一直是银河最好的雇主之一在世纪中期成为国防制造商国家座右铭“得到你应得的“虽然大多数反式政府可以追溯到地球时期，阿尔特拉字面意思是”地球“是唯一一个厚颜无耻到用母星名称自我命名的。在扩建期间，阿尔特拉向所有各方提供武器，获得并收容广大的殖民劳动力，并从制造商过渡到国家。公司停止贸易的威胁是冲突的转折点之一，导致敌对行动的结束和“宪章”的签署。阿尔特拉在自己的国界内拥有垄断权。鼓励企业自由发展但竞争很激烈，所有出口到世界的商品必须是阿尔特拉品牌，有利可图的企业会被国家购买，原先的所有者会晋升到阿尔特拉董事会。着名的阿尔特拉旗下的技术如独眼巨人号潜水器就是起源于这样的私人企业。尽管表面上像是国家政府，但是该公司的律师一直认为它对其“雇员”没有法律义务，是自愿选择担任通常由民主选举的政府服务的角色。尽管如此，针对这一矛盾的诉讼从未在联邦法院出现过
    "Ency_Aurora_Living_Area_PDA2"    责任自主关系
    "EncyDesc_Aurora_Living_Area_PDA2"    前言，作者罗宾艾克伦德生活中的所有好东西都是商品。我们把爱情作为交易，就像我们买卖股票一样。当有公平的价值交换时，我们才会建立人际关系无论是支持，鼓励，挑战，学习从来没有什么是免费的。如果银河系中的每一个物质都来自一个供应商，那么这将形成一种危险的垄断情形。人与人之间的关系也是一样的：重要的是，人们可以从多个来源获得他们所需要的东西。此外，如果有人找到他们需要的货物的更好来源，他们应该可以自由添加备选或更换现有供应商。如果关系中的成员感到受到了威胁或嫉妒，他们必须检查下自己的商业模式，并询问它是否在竞争性。总会有改进的余地。
    "Ency_Aurora_Living_Area_PDA2b"    关系合同法律记录
    "EncyDesc_Aurora_Living_Area_PDA2b"    威尔逊：听着，我知道我没有权利要求你，但我需要你明白，我想改变我们现在的关系。哈金斯：我听到你在说什么，我会努力尊重你的行为。但是你想如何改变呢？威尔逊我想减少我们的联系时间。哈金斯：我们还能怎么减少？威尔逊减到零。哈金斯你这是要离开我？威尔逊：我只是改变了我们相处的方式。哈金斯如果我们根本看不到对方，那还算是一种关系吗？威尔逊：为什么不算？是你的期望太高了。哈金斯：我觉得你只是想在甲板上跟那帮人花更多的时间。威尔逊：我觉得你没在好好说话，嫉妒是一种占有欲的情绪。你为什么不能单纯为我高兴呢？哈金斯：我为你高兴，我也为甲板上那帮人高兴。我只是自己不高兴。威尔逊：这就是为什么我想改变我们的关系
    "Ency_Aurora_Living_Area_PDA3"    今日菜单
    "EncyDesc_Aurora_Living_Area_PDA3"    对于有时间意识的消费者，通常会喜欢素食饼干。它们满足各种食用条件，做起来也方便。起源：太空熊奶油自从二十一世纪引入星际真空以来，太空熊已经适应和蓬勃发展，没有任何其他的生命形式能够幸存下来。压缩成光滑，坚果，蛋白质丰富的汤，它们是长途太空飞行旅客的最新鲜的速食食材。注释：小屋馅饼肉馅中是捣碎的鲜牛肉，配上一大堆捣碎的紫薯每天现摘的，搭配炒上紫薯的叶子。甜点：干果和坚果不幸的是，货船湾涉及不正确应用排斥炮的事故与改装的电池充电器相结合，导致所有脱水甜点的空间排放。水果和坚果将是未来周唯一可用的甜点。请记住，摄入的卡路里不应超过消耗的热量。您可以使用个人上的相关应用程序检查您的营养水平。运动是平衡这一热量数字的最佳方法。
    "Ency_Aurora_RingRoom_Code_PDA"    访问实验室
    "EncyDesc_Aurora_RingRoom_Code_PDA"    如果您需要调整您的设备，请使用前面部分的模组站，或从数据线旁边的实验室检索预配置的设备。密码是。
    "Ency_Aurora_RingRoom_Terminal1"    未知
    "EncyDesc_Aurora_RingRoom_Terminal1"    未知
    "Aurora_RingRoom_Terminal2"    在您的电脑上检测到数据库损坏。您的最新蓝图资料已更新。
    "Ency_Aurora_RingRoom_Terminal3"    阿尔特拉总最后的传输信号
    "EncyDesc_Aurora_RingRoom_Terminal3"    极光号远程通信继电器失效平均远程传输延迟小时显示最后记录的传输……极光号：这是一次紧急求救呼叫。极光号与行星发生突发碰撞。正在发送所有可用的环境数据。请提供生存的解决方案。阿尔特拉总部：这是是阿尔特拉总部，这可能是我们唯一可能通话的窗口。我们派遣的营救飞船无法抵达星球内部，所以极光号的幸存者，你们需要先离开星球，在太空与我们的救援队汇合。我们已经将建造离开星球所需载具的蓝图发往舰载计算机了。黑匣子数据显示，船长居住区的最高安全终端还可以正常工作。密码是当你完成蓝图下载后，需要自己想好建立逃逸飞船的计划，材料都是足够的，关键的必须要有足够的能量供应。你可能需要从极光号的反应堆碎片里收集残余的有效零件，或者想到其他更靠谱的手段，我们一定会静音：通信中断
    "Sign_Aurora_Airlock"    气阀
    "Sign_Aurora_Office"    行政
    "Sign_Aurora_Cargo"    三号货舱
    "Sign_Aurora_Seamoth"    海蛾号停靠处
    "Sign_Aurora_DriveRoom"    驾驶舱
    "Sign_Aurora_Robotics"    海虾号安放处
    "Sign_Aurora_Robotics_2Line"    海虾号安放处
    "Sign_Aurora_Locker"    储物间
    "Sign_Aurora_LivingArea"    宿舍区
    "Sign_Aurora_Seamoth_Bay1"    号港
    "Sign_Aurora_Seamoth_Bay2"    号港
    "TemperatureFormat"    摄氏度
    "CraftingBegin"    的建造需要秒。此任务完成后，您将收到通知。
    "CraftingEnd"    的制作已完成。准备好接收。
    "SeamothUpgradesMenu_CommonModules"    通用模块
    "SeamothUpgradesMenu_SeamothModules"    海蛾号模块
    "SeamothUpgradesMenu_ExosuitModules"    海虾号模块
    "SeamothUpgradesMenu_Torpedoes"    鱼雷
    "VehicleStorageLabel"    载具存储
    "VehicleTorpedoStorageLabel"    鱼雷舱
    "ExosuitPropulsionArmFragment"    海虾号冲击炮碎片
    "ExosuitGrapplingArmFragment"    海虾号格斗手臂碎片
    "ExosuitDrillArmFragment"    海虾号电钻手臂碎片
    "ExosuitTorpedoArmFragment"    海虾号鱼雷手臂碎片
    "Tooltip_ExosuitPropulsionArmFragment"    海虾号冲击炮科技碎片。
    "Tooltip_ExosuitGrapplingArmFragment"    海虾号格斗手臂科技碎片。
    "Tooltip_ExosuitDrillArmFragment"    海虾号电钻手臂科技碎片。
    "Tooltip_ExosuitTorpedoArmFragment"    海虾号鱼雷手臂科技碎片。
    "EncyNotificationEntryUnlocked"    数据库入口解锁
    "EncyNotificationPressPDAToView"    按下以查看
    "Tooltip_Poster"    物竞天择海报。
    "Tooltip_PosterAurora"    极光号海报。
    "Tooltip_PosterExoSuit1"    海虾号海报。
    "Tooltip_PosterKitty"    海报。
    "Ency_DeepPDA1"    德加斯号语音日志瘟疫
    "EncyDesc_DeepPDA1"    啛
    "Ency_DeepPDA2"    德加斯号语音日志冒险
